date,temperature
2024-04-25-17-22-58,20
2024-04-25-17-23-00,19
2024-04-25-17-23-02,18
2024-04-25-17-23-05,19
2024-04-25-17-23-07,18
2024-04-25-17-23-09,18
2024-04-25-17-23-11,18
2024-04-25-17-23-14,18
2024-04-25-17-23-16,18
2024-04-25-17-23-18,18
2024-04-25-17-32-08,18
2024-04-25-17-32-10,18
2024-04-25-17-32-12,19
2024-04-25-17-32-15,19
2024-04-25-17-32-17,18
2024-04-25-17-32-19,19
2024-04-25-17-32-21,19
2024-04-25-17-32-24,20
2024-04-25-17-32-26,18
2024-04-25-17-32-28,19
2024-04-25-17-32-30,18
2024-04-25-17-32-33,20
2024-04-25-17-32-35,18
2024-04-25-17-32-37,19
2024-04-25-17-32-39,19
2024-04-25-17-32-42,19
2024-04-25-17-32-44,19
2024-04-25-17-32-46,19
2024-04-25-17-32-48,19
2024-04-25-17-32-51,18
2024-04-25-17-32-53,18
2024-04-25-17-32-55,19
2024-04-25-17-32-57,20
2024-04-25-17-32-59,19
2024-04-25-17-33-02,18
2024-04-25-17-33-04,20
2024-04-25-17-33-06,19
2024-04-25-17-33-08,19
